"NAME","Active","Apex Validation Method","Comments","Error Text","Record Type 1","Record Type 2","Record Type 3","SOQL Where Clause","Severity","Validation Type"
"FABS1.1","true","","","FAIN is required for non-aggregate and PII-redacted non-aggregate records (RecordType = 2 or 3).","false","true","true","gr_record_type__c IN ('2', '3')
    AND (gr_fain__c = NULL OR gr_fain__c = '')
    AND (gr_correction_delete_indicatr__c = NULL OR gr_correction_delete_indicatr__c <> 'D')","Fatal Error","SOQL"
"FABS1.2","true","","","FAIN must not be used for aggregate records (RecordType = 1).","true","false","false","gr_record_type__c = '1'
    AND gr_fain__c <> ''","Fatal Error","SOQL"
"FABS2.1","true","FABS2_1Rule","","The combination of FAIN, AwardModificationAmendmentNumber, URI, AssistanceListingNumber, and AwardingSubTierAgencyCode must be unique within the submission file.","true","true","true","","Fatal Error","Apex"
"FABS2.2","false","","The combination of FAIN, AwardModificationAmendmentNumber, URI, AssistanceListingNumber, and AwardingSubTierAgencyCode must be unique when compared to currently published data--unless the record is a correction or deletion (i.e., if CorrectionDeleteIndicator = C or D). In this particular case, the combination of these five fields in this transaction has already been published in USAspending, making this second attempt a duplicate.","","true","true","true","","Fatal Error","Not Configured"
"FABS3.2","true","","","ActionType must contain one of the following values: ""A"", ""B"", ""C"", ""D"", ""E"".","true","true","true","gr_action_type__c  NOT IN ('A', 'B', 'C', 'D', 'E')
    AND gr_correction_delete_indicatr__c  <> 'D'","Fatal Error","SOQL"
"FABS3.3","false","","ActionType should be B, C, or D for transactions that modify existing awards. For RecordType = 1, we consider a record a modification if its combination of URI + AwardingSubTierAgencyCode matches an existing published FABS record of the same RecordType. For RecordType = 2 or 3, we consider a record a modification if its combination of FAIN + AwardingSubTierCode matches those of an existing published FABS record (RecordType = 2 or 3) of the same RecordType. This rule does not trigger for correction records (those with CorrectionDeleteIndicator = C).","","true","true","true","","Warning","Not Configured"
"FABS3.4","true","","","ActionType = E is only valid for mixed aggregate records (RecordType = 1).","true","false","false","gr_action_type__c = 'E' 
AND gr_record_type__c <> '1'","Fatal Error","SOQL"
"FABS4.1","false","","ActionDate must follow YYYYMMDD format, where YYYY is the year, MM the month and DD the day.","","true","true","true","","Fatal Error","Other"
"FABS4.2","true","","","Value of ActionDate must be between 19991001 and 20991231 (i.e., a date between 10/01/1999 and 12/31/2099).","true","true","true","gr_action_date__c <= 1999-10-01 and gr_action_date__c >=2099-12-31","Fatal Error","SOQL"
"FABS4.3","true","FABS4_3Rule","","A future ActionDate is valid only if it occurs within the current fiscal year.","true","true","true","","Fatal Error","Apex"
"FABS5","true","","","AssistanceType field must contain one of the following values: ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""09"", ""10"", or ""11"".","true","true","true","gr_assistance_type__c NOT IN ('02', '03', '04', '05', '06', '07', '08', '09', '10', '11')","Fatal Error","SOQL"
"FABS6","true","","","RecordType field must contain one of the following values: ""1"", ""2"", or ""3"".","true","true","true","gr_record_type__c NOT IN ('1','2','3')","Fatal Error","SOQL"
"FABS7","true","","","URI is a required field for aggregate records (RecordType = 1).","true","false","false","gr_uri__c = ''","Fatal Error","SOQL"
"FABS9.1","true","","","AwardeeOrRecipientLegalEntityName must contain ""MULTIPLE RECIPIENTS"" for aggregate records (RecordType = 1).","true","false","false","gr_record_type__c = '1'
    AND gr_awardee_or_recipient_legal__c <> 'MULTIPLE RECIPIENTS'","Fatal Error","SOQL"
"FABS9.2","true","","","AwardeeOrRecipientLegalEntityName must contain ""REDACTED DUE TO PII"" for PII-redacted non-aggregate records (RecordType = 3).","false","false","true","gr_record_type__c = '3'
    AND gr_awardee_or_recipient_legal__c <> 'REDACTED DUE TO PII'","Fatal Error","SOQL"
"FABS10.1","true","","","LegalEntityAddressLine1 is required for non-aggregate records (RecordType = 2).","false","true","false","gr_record_type__c = '2'
    AND gr_legal_entity_address_line1__c = ''
    AND gr_correction_delete_indicatr__c <> 'D'","Fatal Error","SOQL"
"FABS10.2","true","","","LegalEntityAddressLine1 must be blank for aggregate and PII-redacted non-aggregate records (RecordType = 1 or 3).","true","false","true","gr_record_type__c IN ('1', '3')
    AND gr_legal_entity_address_line1__c <> ''","Fatal Error","SOQL"
"FABS11","true","","","LegalEntityAddressLine2 is optional, but must be blank for aggregate and PII-redacted non-aggregate records (RecordType = 1 or 3).","true","false","true","gr_record_type__c IN ('1', '3')
    AND gr_legal_entity_address_line2__c <> ''","Fatal Error","SOQL"
"FABS13.1","true","","","LegalEntityZIP5 must be blank for aggregate records (RecordType = 1).","true","false","false","gr_record_type__c = '1'
    AND gr_legal_entity_zip5__c <> ''","Fatal Error","SOQL"
"FABS13.2","true","","","LegalEntityZIP5 must be blank for foreign recipients (i.e., when LegalEntityCountryCode is not USA).  Check the BillingCountry on the associated Account.","true","true","true","gr_legal_entity_country_code__c	 <> 'USA'
    AND gr_legal_entity_zip5__c <> ''
    AND gr_correction_delete_indicatr__c <> 'D'","Fatal Error","SOQL"
"FABS13.3","true","","","LegalEntityZIP5 is required for domestic recipients (LegalEntityCountryCode = USA) for non-aggregate and PII-redacted non-aggregate records (RecordType = 2 or 3).","false","true","true","gr_legal_entity_country_code__c = 'USA'
    AND gr_record_type__c IN ('2', '3')
    AND gr_legal_entity_zip5__c = ''
    AND gr_correction_delete_indicatr__c <> 'D'","Fatal Error","SOQL"
"FABS14.1","true","","","LegalEntityZIPLast4 must be blank for aggregate and PII-redacted non-aggregate records (RecordType = 1 or 3).","true","false","true","gr_record_type__c IN ('1', '3')
    AND  gr_legal_entity_zip_last4__c <> ''","Fatal Error","SOQL"
